Initializing I2C devices...A
Initializing I2C devices...B
Testing device connections...
MPU6050 connection successful
-684	-64	16748	-294	85	-62	
-588	-156	16660	-260	97	-59	
-664	-148	16644	-259	100	-59	
-448	-176	16676	-275	98	-47	
-636	-156	16844	-277	84	-72	
-700	-148	16788	-297	102	-57	
-744	-272	16800	-261	78	-49	
-564	-96	16712	-277	71	-57	
-620	-132	16908	-286	63	-58	
-592	-112	16948	-279	89	-76	
-712	-216	16700	-277	86	-71	
-656	-108	16824	-251	95	-64	
-676	-172	16656	-260	76	-61	
-640	-180	16736	-283	88	-44	
-664	-104	16724	-279	78	-53	
-676	-184	16644	-263	72	-85	
-680	-276	16688	-274	84	-75	
-656	-208	16704	-262	99	-69	
-716	-124	16896	-258	81	-51	
-704	-128	16680	-297	84	-38	
-652	-172	16732	-290	80	-29	
-584	-172	16744	-275	70	-65	
-664	-172	16876	-287	92	-54	
-588	-188	16604	-256	86	-72	
-620	-184	16840	-272	92	-65	
-572	-248	16848	-275	88	-49	
-656	-148	16828	-258	77	-74	
-652	-92	16468	-276	84	-49	
-668	-136	16700	-294	83	-76	
-648	-224	16624	-263	95	-49	
-668	-116	16744	-266	93	-56	
-628	-176	16704	-289	102	-47	
-688	-240	16680	-242	84	-64	
-744	-192	16624	-260	97	-59	
-672	-212	16796	-276	111	-48	
-648	-80	16652	-264	78	-63	
-600	-116	16632	-257	61	-66	
-680	-172	16740	-294	74	-43	
-696	-60	16848	-283	87	-51	
-620	-192	16828	-273	85	-20	
-628	-184	16712	-283	100	-61	
-644	-228	16740	-277	96	-62	
-648	-184	16780	-278	108	-39	
-564	-112	16752	-280	95	-47	
-672	-236	16624	-270	79	-45	
-624	-224	16728	-265	89	-40	
-544	-116	16676	-268	92	-49	
-600	-96	16836	-293	94	-37	
-596	-132	16720	-282	93	-32	
-720	-200	16660	-273	113	-101	
-592	-96	16808	-281	74	-72	
-656	-112	16824	-280	86	-58	
-716	-76	16664	-281	84	-30	
-644	-184	16732	-263	92	-65	
-656	-88	16588	-273	93	-64	
-660	-224	16816	-266	99	-47	
-660	-168	16760	-286	74	-56	
-684	-256	16588	-263	69	-43	
-616	-120	16692	-264	66	-59	
-588	-100	16704	-278	71	-50	
-696	-128	16820	-292	69	-41	
-656	-216	16644	-240	94	-35	
-724	-156	16800	-268	77	-69	
-548	-208	16644	-256	85	-67	
-680	-144	16620	-255	88	-48	
-644	-232	16680	-285	81	-51	
-680	-152	16796	-283	81	-60	
-652	-168	16716	-271	87	-67	
-592	-156	16612	-257	73	-56	
-708	-232	16656	-270	82	-43	
-652	-124	16700	-258	98	-54	
-692	-180	16616	-285	91	-66	
-588	-124	16752	-300	102	-46	
-612	-156	16684	-269	85	-48	
-724	-200	16716	-283	87	-47	
-592	-120	16624	-266	50	-67	
-640	-100	16744	-279	81	-37	
